Truss Material Report

Company Name        Teck Guan Steel S/B      
Client Name         Zirbad Resources Sdn Bhd  
Job Number          2674    
Dwg Number          T-2674-Akademik 3-01 Truss.dwg
Current Date        19-01-2026


Material Summary by Truss

Truss  ID      Member           Qty    Length    

GI1    B1      MB10010            1      9750     
GI1    T1      MB10010            1      5379      
GI1    T2      MB10010            1      6565     
GI1    W1      MB7510             1       150      
GI1    W10     MB7510             1       820      
GI1    W11     MB7510             1       150      
GI1    W2      MB7510             1       820      
GI1    W3      MB7510             1      1697      
GI1    W4      MB7510             1      1578      
GI1    W5      MB7510             1      2177      
GI1    W6      MB7510             1      2335      
GI1    W7      MB7510             1      2177      
GI1    W8      MB7510             1      1578      
GI1    W9      MB7510             1      1697      

GI2    B1      MB10010            1      9750     
GI2    T1      MB10010            1      6565     
GI2    T2      MB10010            1      5379      
GI2    W1      MB7510             1       150      
GI2    W10     MB7510             1       820      
GI2    W11     MB7510             1       150      
GI2    W2      MB7510             1       820      
GI2    W3      MB7510             1      1697      
GI2    W4      MB7510             1      1578      
GI2    W5      MB7510             1      2177      
GI2    W6      MB7510             1      2335      
GI2    W7      MB7510             1      2177      
GI2    W8      MB7510             1      1578      
GI2    W9      MB7510             1      1697      

HN1    B1      MB10010            3      2125     
HN1    T1      MB10010            3      3531     
HN1    W1      MB7510             3      1036      
HN1    W2      MB7510             3      1060      
HN1    W3      MB7510             3       549      
HN1    W4      MB7510             3       150      

HN2    B1      MB10010            6       600      
HN2    T1      MB10010            6      1324     
HN2    W1      MB7510             6       150      
HN2    W2      MB7510             6       324      

HN3    B1      MB10010            2      2125      
HN3    T1      MB10010            2      3531     
HN3    W1      MB7510             2       150      
HN3    W2      MB7510             2       549      
HN3    W3      MB7510             2      1060      
HN3    W4      MB7510             2      1036      

HN4    B1      MB10010            1      2125      
HN4    T1      MB10010            1      3531      
HN4    W1      MB7510             1       150      
HN4    W2      MB7510             1       549      
HN4    W3      MB7510             1      1060      
HN4    W4      MB7510             1      1036      

J1     T1      MB10010           24      2922    

J10    T1      MB10010            2      3505     

J11    T1      MB10010            2      4347     

J12    T1      MB10010            1      5423      

J2     T1      MB10010           12      2610     

J3     T1      MB10010            2      3272     

J4     T1      MB10010            4      3809     

J5     T1      MB10010            4      4871     

J6     T1      MB10010            4      5933     

J7     T1      MB10010            2      6995     

J8     T1      MB10010            2      2747      

J9     T1      MB10010            2      1423      

LH1    T1      MB10016            4      3995     

LH2    T1      MB10010            1      9467     

LH3    T1      MB10010            1      9467     

LH4    T1      MB10016            1      7346     

RH1    T1      MB10016            2      5534     
RH1    T1      UB10010            2       600      
RH1    T3      MB10016            2      5534     

RH2    T1      MB10016            4      3995     

RH3    T1      MB10016            1      7346     

S1     B1      MB10010            1      8755     
S1     T1      MB10010            1      4830      
S1     T2      MB10010            1      4830      
S1     W1      MB7510             1       782      
S1     W2      MB7510             1      1722      
S1     W3      MB7510             1      1522      
S1     W4      MB7510             1      2186      
S1     W5      MB7510             1      2186      
S1     W6      MB7510             1      1522      
S1     W7      MB7510             1      1722      
S1     W8      MB7510             1       782      
S1     W9      MB7510             1       282      

S2     B1      MB10010            1      6355     
S2     T1      MB10010            1      3506      
S2     T2      MB10010            1      3506      
S2     W1      MB7510             1       261      
S2     W2      MB7510             1       943      
S2     W3      MB7510             1      1760      
S2     W4      MB7510             1      1760      
S2     W5      MB7510             1       943      
S2     W6      MB7510             1       282      

S3     B1      MB10010            3      3955     
S3     T1      MB10010            3      2182     
S3     T2      MB10010            3      2182     
S3     W1      MB7510             3       600      
S3     W2      MB7510             3      1074      
S3     W3      MB7510             3      1074      
S3     W4      MB7510             3       600      

S4     B1      MB10010            3      1555      
S4     T1      MB10010            3       858      
S4     T2      MB10010            3       858      
S4     W1      MB7510             3       430      

S5     B1      MB10010            1      6355     
S5     T1      MB10010            1      3506      
S5     T2      MB10010            1      3506      
